question_id,certificate,wing,subject_code,subject_name,module_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,source,active
Q-NCC_GEN-0001,ABC,ALL,NCC_GEN,NCC General,1,NCC was established on:,15 Jul 1947,15 Jul 1948,15 Aug 1947,16 Aug 1947,B,NCC Act 1948 established NCC on 15 Jul 1948.,1,OMR_2024,TRUE
Q-NCC_GEN-0002,ABC,ALL,NCC_GEN,NCC General,1,NCC Motto is:,Unity and Service,Unity and Discipline,Discipline and Service,Duty and Discipline,B,Motto adopted 23 Dec 1957.,1,OMR_2024,TRUE
Q-NCC_GEN-0003,ABC,ALL,NCC_GEN,NCC General,1,NCC Motto was adopted on:,15 Dec 1948,23 Jul 1948,23 Dec 1957,15 Jul 1948,C,Adopted 23 December 1957.,2,OMR_2024,TRUE
Q-NCC_GEN-0004,ABC,ALL,NCC_GEN,NCC General,1,Naval Wing of NCC was first raised in:,Jun 1952,Jun 1954,Jul 1952,Jul 1954,C,Naval Wing raised July 1952.,1,OMR_2024,TRUE
Q-NCC_GEN-0005,ABC,ALL,NCC_GEN,NCC General,1,NCC Day is observed on:,Last Sunday of November,Second Sunday of November,Last Day of November,Last Saturday of November,A,Last Sunday of November.,1,OMR_2024,TRUE
Q-NCC_GEN-0006,ABC,ALL,NCC_GEN,NCC General,1,There are ___ NCC Directorates in India.,Thirteen,Fifteen,Seventeen,Eighteen,C,17 NCC Directorates.,2,OMR_2024,TRUE
Q-NCC_GEN-0007,ABC,ALL,NCC_GEN,NCC General,1,DG NCC holds the rank of:,Major General,Air Marshall,Admiral,Lieutenant General,D,DG NCC = Lt General.,3,OMR_2024,TRUE
Q-NCC_GEN-0008,ABC,ALL,NCC_GEN,NCC General,1,HQ DG NCC is located at:,Mumbai,Kolkata,New Delhi,Bangalore,C,HQ DG NCC at New Delhi.,1,OMR_2024,TRUE
Q-NCC_GEN-0009,ABC,ALL,NCC_GEN,NCC General,1,Annual Training Camp is conducted at ___ level.,Directorate,Group HQ,Unit,All India,C,ATC at Unit level.,2,OMR_2024,TRUE
Q-NCC_GEN-0010,ABC,ALL,NCC_GEN,NCC General,1,NCC Girls Division was raised in:,May 1965,January 1948,July 1950,July 1971,C,NCC Girls Division July 1950.,1,OMR_2024,TRUE
Q-NCC_GEN-0011,ABC,ALL,NCC_GEN,NCC General,1,NCC Song was sung by:,Asha Bhonsle,Shreya Ghosal,Lata Mangeshkar,Anuradha Podwal,C,Lata Mangeshkar.,1,OMR_2024,TRUE
Q-NCC_GEN-0012,ABC,ALL,NCC_GEN,NCC General,1,Male ANO Training Academy is at:,Gwalior,Dehradun,Kamptee,Agra,C,Kamptee.,2,OMR_2024,TRUE
